DFS ID,Name,Pos,Order,Team,Opp,Status,Salary,Actual,SS Proj,Live Proj,My Proj,Value,My Own,Adj Own,Min Exp,Max Exp,Saber Team,Saber Total,dk_points,dk_25_percentile,dk_50_percentile,dk_75_percentile,dk_85_percentile,dk_95_percentile,dk_99_percentile,fd_points,fd_25_percentile,fd_50_percentile,fd_75_percentile,fd_85_percentile,fd_95_percentile,fd_99_percentile,yahoo_points,yahoo_25_percentile,yahoo_50_percentile,yahoo_75_percentile,yahoo_85_percentile,yahoo_95_percentile,yahoo_99_percentile,ob_points,ob_25_percentile,ob_50_percentile,ob_75_percentile,ob_85_percentile,ob_95_percentile,ob_99_percentile,dk_std,fd_std,yahoo_std,ob_std,1B,2B,3B,HR,SB,CS,R,RBI,K,BB,PA,H,ER,IP,W,QS,CG,CGSO,Pitches
43292151,Xander Bogaerts,SS,5,SD,STL,Confirmed,4200,0,6.97,,6.97,1.6595238095238096,2.34,1.9080166079926961,0,100,4.2284,8.9658,6.96632,2,5,10,14,20,28,9.01157,3,6.2,12.7,18.4,27.2,37.6,6.78666,2.6,5.2,9.7,13.5,19.6,27.103,7.24464,2,5.5,11,15,23,32,6.58717,8.76813,6.41066,7.6537,0.69804,0.1776,0.01204,0.07376,0.1198,0.01912,0.46404,0.43968,0.7192,0.37192,4.26608,0.9614400000000001,0,0,0,0,0,0,0
43292266,Jared Young,1B,4,NYM,CIN,Confirmed,2700,0,6.93,,6.93,2.566666666666667,2.04,1.5258563988886698,0,100,4.3026,8.966000000000001,6.92696,0,5,10,15,22,32,9.21463,0,6,12.7,21.03,30.9,43.603,6.9282,0,4.5,9.7,14.93,22.5,31.504,7.18128,0,4,11,17,26,37,7.57645,10.2724,7.51197,9.17918,0.44548,0.1426,0.0306,0.14756,0.07376,0.01208,0.44636,0.52432,1.30496,0.42348,4.20648,0.7662399999999999,0,0,0,0,0,0,0
43292311,Tommy Troy,OF,9,ARI,LAA,Confirmed,2300,0,6.85,,6.85,2.9782608695652173,3.21,2.7997436774540945,0,100,4.9164,9.5328,6.84608,2,5,10,14,20,29,9.08403,3,6.2,12.7,18.7,27.9,38.403,6.82284,2.6,5.2,9.7,14.2,20.3,28.4,7.26738,1.5,5,11,16,23.5,34,6.79113,9.15355,6.69122,8.08058,0.47808,0.14808,0.0676,0.08744,0.07944,0,0.48436,0.48312,0.74588,0.46204,3.76464,0.7812,0,0,0,0,0,0,0
43292174,Henry Bolte,OF,8,ATH,PIT,Confirmed,3700,0,6.85,,6.85,1.8513513513513513,2.18,1.7397512655462817,0,100,5.2402,10.499600000000001,6.85372,2,5,10,14,20,28,8.95794,3,6.2,12.7,18.7,27.7,37.903,6.71459,1.9,5.2,9.7,13.9,20.3,27.7,7.15246,1.5,5,11,15.575,23,33.5,6.76814,9.07766,6.63053,8.00915,0.57316,0.17652,0.03144,0.09124,0.107,0.01616,0.45952,0.47704,0.89116,0.3398,3.88844,0.87236,0,0,0,0,0,0,0
43292244,Tyler Stephenson,C,8,CIN,NYM,Confirmed,2900,0,6.8,,6.8,2.344827586206897,5.2,5.121633682905426,0,100,4.6634,8.966000000000001,6.80268,2,5,10,14,21,29,9.03895,3,6.2,12.7,18.7,28.2,38.42,6.80295,2.6,4.5,9.7,14.2,20.6,28.405,7.29996,1.5,5,10.5,16.5,24,34.505,6.88376,9.36096,6.85687,8.37948,0.49524,0.16076,0.0172,0.13976,0.04092,0.00676,0.46156,0.51776,0.86056,0.40736,3.77888,0.81296,0,0,0,0,0,0,0
43292214,Spencer Torkelson,1B,7,DET,HOU,Confirmed,3200,0,6.79,,6.79,2.121875,0.64,0.3756389691569491,0,100,4.647,9.278400000000001,6.78556,2,5,10,14,21,29,9.13132,3,6.2,12.7,18.7,28.4,40.4,6.90939,2.6,5.2,9.7,14.2,20.62,28.902,7.00938,1,4.5,10,16,24.5,34.005,6.87052,9.38185,6.87212,8.3601,0.44972,0.1412,0.01092,0.13468,0.04136,0.00684,0.4678,0.48928,1.27748,0.58764,4.17796,0.7365200000000001,0,0,0,0,0,0,0
43292245,Marcus Semien,2B,6,NYM,CIN,Confirmed,2900,0,6.79,,6.79,2.341379310344828,2.37,1.969654243287489,0,100,4.3026,8.966000000000001,6.78648,2,5,10,14,21,29,8.84284,3,6.2,12.5,18.7,28.2,40.103,6.65117,1.9,4.5,9.7,14.2,20.6,28.9,7.10794,1,5,11,16,24,34,6.99476,9.38671,6.8709,8.30754,0.56684,0.16124,0.0266,0.109,0.10704,0.015,0.41512,0.47916,0.883,0.3266,4.1562,0.86368,0,0,0,0,0,0,0
43292144,TJ Rumfield,1B,3,COL,CHC,Confirmed,4300,0,6.78,,6.78,1.5767441860465117,0.49,0.2704940963415868,0,100,4.0846,9.8432,6.77808,2,5,10,14,21,28,8.76973,3,6.2,12.5,18.7,27.7,37.9,6.64324,2.6,5.2,9.7,13.9,20.6,27.704,7.11374,1.5,5,10.5,15,23.5,33,6.71207,8.96442,6.60323,7.95214,0.64764,0.15764,0.03732,0.095,0.06808,0.00928,0.44604,0.4408,0.82548,0.34216,4.35588,0.9376,0,0,0,0,0,0,0
43292186,A.J. Ewing,OF,5,NYM,CIN,Confirmed,3500,0,6.78,,6.78,1.937142857142857,1.13,0.7755122106244134,0,100,4.3026,8.966000000000001,6.77504,2,5,10,14,21,30,8.90989,3,6.2,12.7,18.7,27.9,40.101,6.72842,2.6,5.2,9.7,14.2,20.6,28.6,6.75278,1,4.5,10.5,15.5,23.5,33.5,6.93808,9.31923,6.82625,8.20894,0.50648,0.14476,0.0288,0.10088,0.12852,0.0206,0.40796,0.44884,1.3946,0.4682,4.22048,0.7809200000000001,0,0,0,0,0,0,0
43292262,Austin Slater,OF,5,TB,LAD,,2800,0,6.76,,6.76,2.414285714285714,3.43,3.0375056869797223,0,100,4.4394,9.7982,6.75804,2,5,10,14,21,28,8.88821,3,6,12.7,18.7,27.9,38.1,6.71724,1.9,4.5,9.7,14.2,20.6,28.102,7.07892,1,4.5,10.5,16.5,24,33.5,6.89582,9.28518,6.8254,8.26645,0.516,0.15436,0.02912,0.1242,0.0704,0.01084,0.44056,0.46828,0.99608,0.3968,4.1732,0.8236800000000001,0,0,0,0,0,0,0
