rank,Name,dfs_id,dk_salary,proj,adj_proj,p50,p75,p95,own,archetype,FRAGILITY,sensitivity_pct,sensitivity_label,mc_prob,win_pct,ceiling_delta,value,CEIL,VAL,LEV,SAFE,wave,sg_ott,sg_app,sg_arg,sg_putt,has_sg,DFS_SCORE_SE
55,William Mouw,42464087,7000,50.16,55.324,55.0,69.0,90.0,3.52,Punt/Fragile Value,40.98460000000001,100.0,CORE LOCK,0.590154,0.005,39.84,7.1657142857142855,83.23699421965321,95.85463177978744,38.2701421800948,67.05144269106987,AM,,,,,False,75.50992845724517
56,Matthew McCarty,42464071,7400,52.24,54.74400000000001,57.5,71.0,91.0,3.84,Punt/Fragile Value,38.4,100.0,CORE LOCK,0.616,0.008,38.76,7.059459459459459,84.1618497109827,94.43327769848018,28.791469194312807,71.8691737906183,PM,,,,,False,74.8582068359503
57,Emiliano Grillo,42464108,6700,47.52,52.800250000000005,51.0,67.0,86.0,1.81,Punt/Fragile Value,44.8308,100.0,CORE LOCK,0.551692,0.004,38.48,7.092537313432836,79.53757225433529,94.8757549430732,52.48815165876779,59.882071277666185,AM,,,,,False,74.84261622993948
58,Jhonattan Vegas,42464113,6600,49.05,52.079,54.0,68.0,87.5,1.98,Punt/Fragile Value,42.815400000000004,100.0,CORE LOCK,0.571846,0.005,38.45,7.431818181818182,80.92485549132952,99.41426170070929,38.2701421800948,63.63880549496477,PM,,,,,False,74.83869578149161
59,Austin Eckroat,42464097,6800,48.31,53.38025,52.5,67.12,86.5,1.87,Punt/Fragile Value,43.9538,100.0,CORE LOCK,0.560462,0.003,38.19,7.104411764705883,80.00000000000003,95.03459760815602,45.37914691943129,61.51681173046507,AM,,,,,False,74.17646672443536
60,Kevin Roy,42464096,6900,47.32,50.545500000000004,51.5,66.5,85.5,1.74,Punt/Fragile Value,45.4,100.0,CORE LOCK,0.546,0.004,38.18,6.857971014492754,79.07514450867055,91.73799849391163,52.48815165876779,58.82107439541635,PM,,,,,False,73.67025519784652
61,Davis Thompson,42464064,7500,54.68,59.2305,60.0,73.0,95.02,4.66,Punt/Fragile Value,35.0769,100.0,CORE LOCK,0.649231,0.009000000000000001,40.339999999999996,7.290666666666667,87.8797687861272,97.52610010641,0.35545023696682354,78.06347937636053,AM,,,,,False,73.4489595808873
62,Rico Hoey,42464065,7500,52.7,57.85725,57.5,72.0,94.0,4.37,Punt/Fragile Value,38.5846,100.0,CORE LOCK,0.614154,0.009000000000000001,41.3,7.026666666666667,86.93641618497114,93.99461367241784,14.573459715639817,71.52507676942483,AM,,,,,False,73.31699507393722
63,Doug Ghim,42464088,7000,49.01,54.327,53.5,68.0,88.5,2.38,Punt/Fragile Value,42.969199999999994,100.0,CORE LOCK,0.570308,0.005,39.49,7.001428571428571,81.84971098265899,93.65700764608019,35.9004739336493,63.352120111110196,AM,,,,,False,73.29064667587288
64,Tom Kim,42464078,7200,53.63,56.67925,59.0,72.0,95.0,4.23,Value Stabilizer,37.0923,100.0,CORE LOCK,0.629077,0.006999999999999999,41.37,7.448611111111111,87.86127167630062,99.63889807186449,0.0,74.30674515906196,PM,,,,,False,73.15835678677276
65,Chad Ramey,42464089,7000,50.73,53.54525,56.0,69.5,89.52,2.83,Punt/Fragile Value,39.9846,100.0,CORE LOCK,0.600154,0.005,38.79,7.247142857142856,82.79306358381507,96.94388895910319,19.31279620853081,68.91545689038443,PM,,,,,False,72.76360313515265
66,Kevin Yu,42464104,6700,48.61,51.55650000000001,53.0,68.0,86.5,1.72,Punt/Fragile Value,43.1231,100.0,CORE LOCK,0.568769,0.004,37.89,7.255223880597015,80.00000000000003,97.05198753751658,26.421800947867307,63.065248325835675,PM,,,,,False,71.76775271068374
67,Matt Kuchar,42464099,6800,50.38,55.23650000000001,55.5,69.5,89.0,2.3,Punt/Fragile Value,40.6154,100.0,CORE LOCK,0.593846,0.005,38.62,7.408823529411765,82.31213872832373,99.10666585590768,12.203791469194316,67.7396367334568,AM,,,,,False,71.67785107719433
68,Hao-Tong Li,42464080,7100,51.44,54.91375,56.0,70.5,93.0,3.71,Punt/Fragile Value,40.0462,100.0,CORE LOCK,0.599538,0.006,41.56,7.245070422535211,86.01156069364166,96.91616632765533,0.0,68.80063361570666,PM,,,,,False,70.67356136863899
69,Seamus Power,42464095,6900,49.2,54.71275,53.5,68.5,89.5,2.63,Punt/Fragile Value,43.184599999999996,100.0,CORE LOCK,0.568154,0.004,40.3,7.130434782608695,82.77456647398847,95.38270342139586,14.573459715639817,62.950611452577846,AM,,,,,False,70.36762155763893
70,Bud Cauley,42464077,7200,51.13,56.437250000000006,56.0,70.0,92.02,3.87,Punt/Fragile Value,40.338499999999996,100.0,CORE LOCK,0.596615,0.006,40.88999999999999,7.101388888888889,85.10520231213876,94.99416107429481,0.35545023696682354,68.25578226524702,AM,,,,,False,69.8001001405202
