Name,dfs_id,dk_salary,proj,p95,own,mc_prob,value,wave,CEIL,VAL,LEV,SAFE,DFS_SCORE_SE,kill_SE,kill_reason_SE,DFS_SCORE_3MAX,kill_3MAX,kill_reason_3MAX,DFS_SCORE_20MAX,kill_20MAX,kill_reason_20MAX,DFS_SCORE_150MAX,kill_150MAX,kill_reason_150MAX
Jordan L. Smith,42464059,7700,55.85,96.5,6.74,0.654615,7.253246753246753,PM,89.24855491329483,97.02553981624489,47.7488151658768,79.06706462127148,82.1015473235666,False,,81.36562964574523,False,,80.09095771207464,False,,79.410867927828,False,
Alex Smalley,42464063,7600,55.43,96.0,6.89,0.659077,7.2934210526315795,PM,88.78612716763008,97.56294509379283,57.22748815165879,79.89878775700566,83.83789513433078,False,,83.33550293438286,False,,82.30318601433132,False,,81.76309705780737,False,
Christiaan Bezuidenhout,42464072,7300,54.78,95.5,11.37,0.648615,7.5041095890410965,AM,88.32369942196536,100.0,85.66350710900478,77.94865610168277,88.71553320921421,False,,89.15447960583951,False,,88.93188568551531,True,chalk_trap,88.95640712730388,True,chalk_trap
Will Zalatoris,42464061,7600,54.73,95.0,5.93,0.650769,7.201315789473684,AM,87.86127167630062,96.33086749022696,57.22748815165879,78.35016476021512,82.86870604737601,False,,82.425247887441,False,,81.44236864560567,False,,80.94563426631689,False,
Davis Thompson,42464064,7500,54.68,95.02,4.66,0.649231,7.290666666666667,AM,87.8797687861272,97.52610010641,0.35545023696682354,78.06347937636053,73.4489595808873,False,,71.31404449490083,False,,68.59525078701286,False,,66.94632647191699,False,
Andrew Novak,42464075,7300,54.51,94.5,5.34,0.647385,7.467123287671233,AM,87.39884393063588,99.88653254302258,50.11848341232229,77.71938235516707,82.24721248052549,False,,81.61277474374953,False,,80.31332250133788,False,,79.60834536598793,False,
Mac Meissner,42464073,7300,53.81,95.0,6.64,0.635846,7.371232876712329,AM,87.86127167630062,98.6038216132828,66.70616113744079,75.568496370578,84.49198530779547,False,,84.47197075691581,False,,83.760896448755,False,,83.49172649840983,False,
Matt Wallace,42464074,7300,53.65,94.5,6.35,0.631385,7.3493150684931505,PM,87.39884393063588,98.31063054362798,73.81516587677727,74.73695963626376,85.28518845585351,False,,85.51077232895638,False,,85.02914607483828,False,,84.91909331033244,False,
Tom Kim,42464078,7200,53.63,95.0,4.23,0.629077,7.448611111111111,PM,87.86127167630062,99.63889807186449,0.0,74.30674515906196,73.15835678677276,False,,71.20024496234566,False,,68.48216855053451,False,,66.89602638461437,False,
Patrick Rodgers,42464066,7500,53.36,92.0,4.61,0.636923,7.1146666666666665,AM,85.08670520231217,95.17177581708188,54.85781990521329,75.76925069984416,80.6055714550042,False,,80.16457762121462,False,,79.14150803390793,False,,78.61475255074458,False,
J.T. Poston,42464067,7400,53.15,93.5,5.92,0.628462,7.182432432432432,AM,86.4739884393064,96.07826779621405,78.55450236966828,74.19210828580411,85.07236961599438,False,,85.44887904158034,False,,85.16880368185402,True,chalk_trap,85.18678477792818,False,
Chris Kirk,42464076,7200,53.04,92.0,5.24,0.630154,7.366666666666666,PM,85.08670520231217,98.54274014043803,85.66350710900478,74.50749948832814,86.43292911818457,False,,86.97919346108456,False,,86.80440058442123,False,,86.86419209521209,False,
Rico Hoey,42464065,7500,52.7,94.0,4.37,0.614154,7.026666666666667,AM,86.93641618497114,93.99461367241784,14.573459715639817,71.52507676942483,73.31699507393722,False,,71.91667335063461,False,,69.8422655202422,False,,68.71618262357302,False,
Max Homa,42464086,7000,52.65,93.5,4.76,0.62,7.521428571428571,AM,86.4739884393064,100.0,45.37914691943129,72.61477947034413,80.09752647730858,False,,79.55764168016043,False,,78.19620026712263,False,,77.5195594745801,False,
Matthew McCarty,42464071,7400,52.24,91.0,3.84,0.616,7.059459459459459,PM,84.1618497109827,94.43327769848018,28.791469194312807,71.8691737906183,74.8582068359503,False,,73.81172921646844,False,,72.08832847975069,False,,71.14427258727828,False,
Max McGreevy,42464070,7400,52.18,92.0,4.75,0.613846,7.051351351351351,AM,85.08670520231217,94.32481681291532,66.70616113744079,71.46766513208594,81.54773259988959,False,,81.67726828145476,False,,81.12108941259504,False,,80.97728750119234,False,
Beau Hossler,42464098,6800,51.79,91.0,5.09,0.614308,7.616176470588235,PM,84.1618497109827,100.0,100.0,71.55378258809428,88.29225940779229,False,,89.39780727260721,False,,89.64996861506498,True,chalk_trap,90.02821062875165,True,chalk_trap
Austin Smotherman,42464085,7000,51.72,91.5,5.87,0.608462,7.388571428571429,AM,84.62427745664743,98.835756691599,100.0,70.46407988717498,87.95898058386076,False,,89.12826213863497,False,,89.44639338927644,True,chalk_trap,89.89448418252866,True,chalk_trap
Seonghyeon Kim,42464094,6900,51.71,91.0,4.61,0.612308,7.494202898550724,AM,84.1618497109827,100.0,78.55450236966828,71.18097974823135,84.5719642426633,False,,85.05278732056144,False,,84.66903979090651,False,,84.62955593718242,False,
Billy Horschel,42464101,6800,51.67,92.5,5.07,0.605385,7.598529411764706,PM,85.54913294797691,100.0,61.96682464454979,69.89052271804587,82.02113525341387,False,,82.0965965158076,False,,81.26877345974272,False,,80.97786825953165,False,
Mackenzie Hughes,42464084,7100,51.46,90.5,4.16,0.605077,7.2478873239436625,PM,83.69942196531795,96.95384757428351,64.33649289099529,69.833111080707,80.9480682480023,False,,81.06049592000318,False,,80.35930149719674,False,,80.1229437300693,False,
Hao-Tong Li,42464080,7100,51.44,93.0,3.71,0.599538,7.245070422535211,PM,86.01156069364166,96.91616632765533,0.0,68.80063361570666,70.67356136863899,False,,68.9537609017265,False,,66.39049445345553,False,,64.96849893924048,False,
Lee Hodges,42464093,6900,51.19,90.5,3.96,0.604462,7.418840579710144,PM,83.69942196531795,99.24066236059458,59.59715639810429,69.71847420744916,80.69115736613703,False,,80.66713678701404,False,,79.75745056329671,False,,79.38400887678299,False,
